Step:82	 mouse A(0,3,37) dir=0	 mouse B(1,87,81) dir=0
Step:83	 mouse A(0,3,36) dir=0	 mouse B(1,87,80) dir=0
Step:84	 mouse A(0,3,35) dir=0	 mouse B(1,87,79) dir=0
Step:85	 mouse A(0,4,35) dir=0	 mouse B(1,86,79) dir=0
Step:86	 mouse A(0,5,35) dir=0	 mouse B(1,85,79) dir=0
Step:87	 mouse A(0,6,35) dir=0	 mouse B(1,85,78) dir=0
Step:88	 mouse A(0,7,35) dir=0	 mouse B(1,85,77) dir=0
Step:89	 mouse A(0,7,36) dir=0	 mouse B(1,86,77) dir=0
Step:90	 mouse A(0,7,37) dir=0	 mouse B(1,87,77) dir=0
Step:91	 mouse A(0,8,37) dir=0	 mouse B(1,87,76) dir=0
Step:92	 mouse A(0,9,37) dir=0	 mouse B(1,87,75) dir=0
Step:93	 mouse A(0,9,36) dir=0	 mouse B(1,87,74) dir=0
Step:94	 mouse A(0,9,35) dir=0	 mouse B(1,87,73) dir=0
Step:95	 mouse A(0,10,35) dir=0	 mouse B(1,87,72) dir=0
Step:96	 mouse A(0,11,35) dir=0	 mouse B(1,87,71) dir=0
Step:97	 mouse A(0,12,35) dir=0	 mouse B(1,87,70) dir=0
Step:98	 mouse A(0,13,35) dir=0	 mouse B(1,87,69) dir=0
Step:99	 mouse A(0,13,34) dir=0	 mouse B(1,88,69) dir=0
Step:100	 mouse A(0,13,33) dir=0	 mouse B(1,89,69) dir=0
Step:101	 mouse A(0,14,33) dir=0	 mouse B(1,90,69) dir=0
Step:102	 mouse A(0,15,33) dir=0	 mouse B(1,91,69) dir=0
Step:103	 mouse A(0,15,34) dir=0	 mouse B(1,91,68) dir=0
Step:104	 mouse A(0,15,35) dir=0	 mouse B(1,91,67) dir=0
Step:105	 mouse A(0,15,36) dir=0	 mouse B(1,90,67) dir=0
Step:106	 mouse A(0,15,37) dir=0	 mouse B(1,89,67) dir=0
Step:107	 mouse A(0,15,38) dir=0	 mouse B(1,88,67) dir=0
Step:108	 mouse A(0,15,39) dir=0	 mouse B(1,87,67) dir=0
Step:109	 mouse A(0,16,39) dir=0	 mouse B(1,87,66) dir=0
Step:110	 mouse A(0,17,39) dir=0	 mouse B(1,87,65) dir=0
Step:111	 mouse A(0,18,39) dir=0	 mouse B(1,88,65) dir=0
Step:112	 mouse A(0,19,39) dir=0	 mouse B(1,89,65) dir=0
Step:113	 mouse A(0,19,38) dir=0	 mouse B(1,89,64) dir=0
Step:114	 mouse A(0,19,37) dir=0	 mouse B(1,89,63) dir=0
Step:115	 mouse A(0,18,37) dir=0	 mouse B(1,88,63) dir=0
Step:116	 mouse A(0,17,37) dir=0	 mouse B(1,87,63) dir=0
Step:117	 mouse A(0,17,36) dir=0	 mouse B(1,87,62) dir=0
Step:118	 mouse A(0,17,35) dir=0	 mouse B(1,87,61) dir=0
Step:119	 mouse A(0,17,34) dir=0	 mouse B(1,87,62) dir=1
Step:120	 mouse A(0,17,33) dir=0	 mouse B(1,87,63) dir=1
Step:121	 mouse A(0,17,32) dir=0	 mouse B(1,88,63) dir=1
Step:122	 mouse A(0,17,31) dir=0	 mouse B(1,89,63) dir=1
Step:123	 mouse A(0,17,30) dir=0	 mouse B(1,89,64) dir=1
Step:124	 mouse A(0,17,29) dir=0	 mouse B(1,89,65) dir=1
Step:125	 mouse A(0,18,29) dir=0	 mouse B(1,88,65) dir=1
Step:126	 mouse A(0,19,29) dir=0	 mouse B(1,87,65) dir=1
Step:127	 mouse A(0,19,30) dir=0	 mouse B(1,87,66) dir=1
Step:128	 mouse A(0,19,31) dir=0	 mouse B(1,87,67) dir=1
Step:129	 mouse A(0,19,32) dir=0	 mouse B(1,88,67) dir=1
Step:130	 mouse A(0,19,33) dir=0	 mouse B(1,89,67) dir=1
Step:131	 mouse A(0,20,33) dir=0	 mouse B(1,90,67) dir=1
Step:132	 mouse A(0,21,33) dir=0	 mouse B(1,91,67) dir=1
Step:133	 mouse A(0,21,34) dir=0	 mouse B(1,91,68) dir=1
Step:134	 mouse A(0,21,35) dir=0	 mouse B(1,91,69) dir=1
Step:135	 mouse A(0,21,36) dir=0	 mouse B(1,90,69) dir=1
Step:136	 mouse A(0,21,37) dir=0	 mouse B(1,89,69) dir=1
Step:137	 mouse A(0,22,37) dir=0	 mouse B(1,88,69) dir=1
Step:138	 mouse A(0,23,37) dir=0	 mouse B(1,87,69) dir=1
Step:139	 mouse A(0,23,38) dir=0	 mouse B(1,87,70) dir=1
Step:140	 mouse A(0,23,39) dir=0	 mouse B(1,87,71) dir=1
Step:141	 mouse A(0,24,39) dir=0	 mouse B(1,88,71) dir=0
Step:142	 mouse A(0,25,39) dir=0	 mouse B(1,89,71) dir=0
Step:143	 mouse A(0,26,39) dir=0	 mouse B(1,90,71) dir=0
Step:144	 mouse A(0,27,39) dir=0	 mouse B(1,91,71) dir=0
Step:145	 mouse A(0,27,38) dir=0	 mouse B(1,92,71) dir=0
Step:146	 mouse A(0,27,37) dir=0	 mouse B(1,93,71) dir=0
Step:147	 mouse A(0,27,36) dir=0	 mouse B(1,93,72) dir=0
Step:148	 mouse A(0,27,35) dir=0	 mouse B(1,93,73) dir=0
Step:149	 mouse A(0,28,35) dir=0	 mouse B(1,92,73) dir=0
Step:150	 mouse A(0,29,35) dir=0	 mouse B(1,91,73) dir=0
Step:151	 mouse A(0,29,36) dir=0	 mouse B(1,91,74) dir=0
Step:152	 mouse A(0,29,37) dir=0	 mouse B(1,91,75) dir=0
Step:153	 mouse A(0,29,38) dir=0	 mouse B(1,92,75) dir=0
Step:154	 mouse A(0,29,39) dir=0	 mouse B(1,93,75) dir=0
Step:155	 mouse A(0,30,39) dir=0	 mouse B(1,92,75) dir=1
Step:156	 mouse A(0,31,39) dir=0	 mouse B(1,91,75) dir=1
Step:157	 mouse A(0,32,39) dir=0	 mouse B(1,91,76) dir=0
Step:158	 mouse A(0,33,39) dir=0	 mouse B(1,91,77) dir=0
Step:159	 mouse A(0,33,38) dir=0	 mouse B(1,90,77) dir=0
Step:160	 mouse A(0,33,37) dir=0	 mouse B(1,89,77) dir=0
Step:161	 mouse A(0,32,37) dir=0	 mouse B(1,89,78) dir=0
Step:162	 mouse A(0,31,37) dir=0	 mouse B(1,89,79) dir=0
Step:163	 mouse A(0,31,36) dir=0	 mouse B(1,90,79) dir=0
Step:164	 mouse A(0,31,35) dir=0	 mouse B(1,91,79) dir=0
Step:165	 mouse A(0,31,34) dir=0	 mouse B(1,91,80) dir=0
Step:166	 mouse A(0,31,33) dir=0	 mouse B(1,91,81) dir=0
