Step:103	 mouse A(0,14,31)	 mouse B(1,96,89)
Step:104	 mouse A(0,15,31)	 mouse B(1,97,89)
Step:105	 mouse A(0,16,31)	 mouse B(1,97,90)
Step:106	 mouse A(0,17,31)	 mouse B(1,97,91)
Step:107	 mouse A(0,18,31)	 mouse B(1,96,91)
Step:108	 mouse A(0,19,31)	 mouse B(1,95,91)
Step:109	 mouse A(0,20,31)	 mouse B(1,95,92)
Step:110	 mouse A(0,21,31)	 mouse B(1,95,93)
Step:111	 mouse A(0,21,32)	 mouse B(1,95,92)
Step:112	 mouse A(0,21,33)	 mouse B(1,95,91)
Step:113	 mouse A(0,21,34)	 mouse B(1,96,91)
Step:114	 mouse A(0,21,35)	 mouse B(1,97,91)
Step:115	 mouse A(0,20,35)	 mouse B(1,97,90)
Step:116	 mouse A(0,19,35)	 mouse B(1,97,89)
Step:117	 mouse A(0,18,35)	 mouse B(1,96,89)
Step:118	 mouse A(0,17,35)	 mouse B(1,95,89)
Step:119	 mouse A(0,16,35)	 mouse B(1,94,89)
Step:120	 mouse A(0,15,35)	 mouse B(1,93,89)
Step:121	 mouse A(0,15,36)	 mouse B(1,93,90)
Step:122	 mouse A(0,15,37)	 mouse B(1,93,91)
Step:123	 mouse A(0,16,37)	 mouse B(1,93,92)
Step:124	 mouse A(0,17,37)	 mouse B(1,93,93)
Step:125	 mouse A(0,17,38)	 mouse B(1,93,94)
Step:126	 mouse A(0,17,39)	 mouse B(1,93,95)
Step:127	 mouse A(0,16,39)	 mouse B(1,94,95)
Step:128	 mouse A(0,15,39)	 mouse B(1,95,95)
Step:129	 mouse A(0,15,40)	 mouse B(1,96,95)
Step:130	 mouse A(0,15,41)	 mouse B(1,97,95)
Step:131	 mouse A(0,16,41)	 mouse B(1,97,94)
Step:132	 mouse A(0,17,41)	 mouse B(1,97,93)
Step:133	 mouse A(0,17,42)	 mouse B(1,98,93)
Step:134	 mouse A(0,17,43)	 mouse B(1,99,93)
Step:135	 mouse A(0,18,43)	 mouse B(1,99,92)
Step:136	 mouse A(0,19,43)	 mouse B(1,99,91)
Step:137	 mouse A(0,19,44)	 mouse B(1,99,90)
Step:138	 mouse A(0,19,45)	 mouse B(1,99,89)
Step:139	 mouse A(0,19,46)	 mouse B(1,99,88)
